ID_Pasajero;Sobrevivio;Clase;Nombre;Genero;EstadoCivil;Edad;Hermanos/Conyuge;Padres/Hijos;Tiquete;Tarifa;Puerto
146;0;2;Nicholls, Mr. Joseph Charles;Masculino;3;19;1;1;C.A. 33112;36,75;S
147;1;3;"Andersson, Mr. August Edvard (""Wennerstrom"")";Masculino;4;27;0;0;350043;7,80;S
148;0;3;"Ford, Miss. Robina Maggie ""Ruby""";Femenino;1;9;2;2;W./C. 6608;34,38;S
149;0;2;"Navratil, Mr. Michel (""Louis M Hoffman"")";Masculino;4;37;0;2;230080;26,00;S
150;0;2;Byles, Rev. Thomas Roussel Davids;Masculino;2;42;0;0;244310;13,00;S
151;0;2;Bateman, Rev. Robert James;Masculino;5;51;0;0;S.O.P. 1166;12,53;S
152;1;1;Pears, Mrs. Thomas (Edith Wearne);Femenino;5;22;1;0;113776;66,60;S
153;0;3;Meo, Mr. Alfonzo;Masculino;4;56;0;0;A.5. 11206;8,05;S
154;0;3;van Billiard, Mr. Austin Blyler;Masculino;4;41;0;2;A/5. 851;14,50;S
155;0;3;Olsen, Mr. Ole Martin;Masculino;1;32;0;0;Fa 265302;7,31;S
156;0;1;Williams, Mr. Charles Duane;Masculino;1;51;0;1;PC 17597;61,38;C
157;1;3;"Gilnagh, Miss. Katherine ""Katie""";Femenino;1;16;0;0;35851;7,73;Q
158;0;3;Corn, Mr. Harry;Masculino;5;30;0;0;SOTON/OQ 392090;8,05;S
159;0;3;Smiljanic, Mr. Mile;Masculino;1;44;0;0;315037;8,66;S
160;0;3;Sage, Master. Thomas Henry;Masculino;4;59;8;2;CA. 2343;69,55;S
161;0;3;Cribb, Mr. John Hatfield;Masculino;3;44;0;1;371362;16,10;S
162;1;2;"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)";Femenino;3;40;0;0;C.A. 33595;15,75;S
163;0;3;Bengtsson, Mr. John Viktor;Masculino;5;26;0;0;347068;7,78;S
164;0;3;Calic, Mr. Jovo;Masculino;1;17;0;0;315093;8,66;S
165;0;3;Panula, Master. Eino Viljami;Masculino;1;1;4;1;3101295;39,69;S
166;1;3;"Goldsmith, Master. Frank John William ""Frankie""";Masculino;1;9;0;2;363291;20,53;S
167;1;1;Chibnall, Mrs. (Edith Martha Bowerman);Femenino;1;65;0;1;113505;55,00;S
168;0;3;Skoog, Mrs. William (Anna Bernhardina Karlsson);Femenino;1;45;1;4;347088;27,90;S
169;0;1;Baumann, Mr. John D;Masculino;1;35;0;0;PC 17318;25,93;S
170;0;3;Ling, Mr. Lee;Masculino;3;28;0;0;1601;56,50;S
171;0;1;Van der hoef, Mr. Wyckoff;Masculino;2;61;0;0;111240;33,50;S
172;0;3;Rice, Master. Arthur;Masculino;1;4;4;1;382652;29,13;Q
173;1;3;Johnson, Miss. Eleanor Ileen;Femenino;1;1;1;1;347742;11,13;S
174;0;3;Sivola, Mr. Antti Wilhelm;Masculino;5;21;0;0;STON/O 2. 3101280;7,93;S
175;0;1;Smith, Mr. James Clinch;Masculino;2;56;0;0;17764;30,70;C
176;0;3;Klasen, Mr. Klas Albin;Masculino;1;18;1;1;350404;7,85;S
177;0;3;Lefebre, Master. Henry Forbes;Masculino;3;29;3;1;4133;25,47;S
178;0;1;Isham, Miss. Ann Elizabeth;Femenino;4;50;0;0;PC 17595;28,71;C
179;0;2;Hale, Mr. Reginald;Masculino;5;30;0;0;250653;13,00;S
180;0;3;Leonard, Mr. Lionel;Masculino;5;36;0;0;LINE;0,00;S
181;0;3;Sage, Miss. Constance Gladys;Femenino;4;45;8;2;CA. 2343;69,55;S
182;0;2;Pernot, Mr. Rene;Masculino;3;40;0;0;SC/PARIS 2131;15,05;C
183;0;3;Asplund, Master. Clarence Gustaf Hugo;Masculino;1;9;4;2;347077;31,39;S
184;1;2;Becker, Master. Richard F;Masculino;1;1;2;1;230136;39,00;S
185;1;3;Kink-Heilmann, Miss. Luise Gretchen;Femenino;1;4;0;2;315153;22,03;S
186;0;1;Rood, Mr. Hugh Roscoe;Masculino;1;49;0;0;113767;50,00;S
187;1;3;"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)";Femenino;1;10;1;0;370365;15,50;Q
188;1;1;"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")";Masculino;3;45;0;0;111428;26,55;S
189;0;3;Bourke, Mr. John;Masculino;2;40;1;1;364849;15,50;Q
190;0;3;Turcin, Mr. Stjepan;Masculino;5;36;0;0;349247;7,90;S
191;1;2;Pinsky, Mrs. (Rosa);Femenino;3;32;0;0;234604;13,00;S
192;0;2;Carbines, Mr. William;Masculino;4;19;0;0;28424;13,00;S
193;1;3;Andersen-Jensen, Miss. Carla Christine Nielsine;Femenino;1;19;1;0;350046;7,85;S
194;1;2;Navratil, Master. Michel M;Masculino;1;3;1;1;230080;26,00;S
195;1;1;Brown, Mrs. James Joseph (Margaret Tobin);Femenino;3;44;0;0;PC 17610;27,72;C
196;1;1;Lurette, Miss. Elise;Femenino;5;58;0;0;PC 17569;146,52;C
197;0;3;Mernagh, Mr. Robert;Masculino;1;34;0;0;368703;7,75;Q
198;0;3;Olsen, Mr. Karl Siegwart Andreas;Masculino;5;42;0;1;4579;8,40;S
199;1;3;"Madigan, Miss. Margaret ""Maggie""";Femenino;5;48;0;0;370370;7,75;Q
200;0;2;"Yrois, Miss. Henriette (""Mrs Harbeck"")";Femenino;4;24;0;0;248747;13,00;S
201;0;3;Vande Walle, Mr. Nestor Cyriel;Masculino;2;28;0;0;345770;9,50;S
202;0;3;Sage, Mr. Frederick;Masculino;1;16;8;2;CA. 2343;69,55;S
203;0;3;Johanson, Mr. Jakob Alfred;Masculino;1;34;0;0;3101264;6,50;S
204;0;3;Youseff, Mr. Gerious;Masculino;2;46;0;0;2628;7,23;C
205;1;3;"Cohen, Mr. Gurshon ""Gus""";Masculino;1;18;0;0;A/5 3540;8,05;S
206;0;3;Strom, Miss. Telma Matilda;Femenino;1;2;0;1;347054;10,46;S
207;0;3;Backstrom, Mr. Karl Alfred;Masculino;3;32;1;0;3101278;15,85;S
208;1;3;Albimona, Mr. Nassef Cassem;Masculino;2;26;0;0;2699;18,79;C
209;1;3;"Carr, Miss. Helen ""Ellen""";Femenino;1;16;0;0;367231;7,75;Q
210;1;1;Blank, Mr. Henry;Masculino;5;40;0;0;112277;31,00;C
211;0;3;Ali, Mr. Ahmed;Masculino;3;24;0;0;SOTON/O.Q. 3101311;7,05;S
212;1;2;Cameron, Miss. Clear Annie;Femenino;2;35;0;0;F.C.C. 13528;21,00;S
213;0;3;Perkin, Mr. John Henry;Masculino;2;22;0;0;A/5 21174;7,25;S
214;0;2;Givard, Mr. Hans Kristensen;Masculino;4;30;0;0;250646;13,00;S
215;0;3;Kiernan, Mr. Philip;Masculino;3;23;1;0;367229;7,75;Q
216;1;1;Newell, Miss. Madeleine;Femenino;5;31;1;0;35273;113,28;C
217;1;3;Honkanen, Miss. Eliina;Femenino;3;27;0;0;STON/O2. 3101283;7,93;S
218;0;2;Jacobsohn, Mr. Sidney Samuel;Masculino;1;42;1;0;243847;27,00;S
219;1;1;Bazzani, Miss. Albina;Femenino;2;32;0;0;11813;76,29;C
220;0;2;Harris, Mr. Walter;Masculino;4;30;0;0;W/C 14208;10,50;S
221;1;3;Sunderland, Mr. Victor Francis;Masculino;1;16;0;0;SOTON/OQ 392089;8,05;S
222;0;2;Bracken, Mr. James H;Masculino;5;27;0;0;220367;13,00;S
223;0;3;Green, Mr. George Henry;Masculino;5;51;0;0;21440;8,05;S
224;0;3;Nenkoff, Mr. Christo;Masculino;1;10;0;0;349234;7,90;S
225;1;1;Hoyt, Mr. Frederick Maxfield;Masculino;3;38;1;0;19943;90,00;S
226;0;3;Berglund, Mr. Karl Ivar Sven;Masculino;4;22;0;0;PP 4348;9,35;S
227;1;2;Mellors, Mr. William John;Masculino;5;19;0;0;SW/PP 751;10,50;S
228;0;3;"Lovell, Mr. John Hall (""Henry"")";Masculino;1;21;0;0;A/5 21173;7,25;S
229;0;2;Fahlstrom, Mr. Arne Jonas;Masculino;1;18;0;0;236171;13,00;S
230;0;3;Lefebre, Miss. Mathilde;Femenino;3;58;3;1;4133;25,47;S
231;1;1;Harris, Mrs. Henry Birkhardt (Irene Wallach);Femenino;1;35;1;0;36973;83,48;S
232;0;3;Larsson, Mr. Bengt Edvin;Masculino;4;29;0;0;347067;7,78;S
233;0;2;Sjostedt, Mr. Ernst Adolf;Masculino;2;59;0;0;237442;13,50;S
234;1;3;Asplund, Miss. Lillian Gertrud;Femenino;1;5;4;2;347077;31,39;S
235;0;2;Leyson, Mr. Robert William Norman;Masculino;3;24;0;0;C.A. 29566;10,50;S
236;0;3;Harknett, Miss. Alice Phoebe;Femenino;1;36;0;0;W./C. 6609;7,55;S
237;0;2;Hold, Mr. Stephen;Masculino;2;44;1;0;26707;26,00;S
238;1;2;"Collyer, Miss. Marjorie ""Lottie""";Femenino;1;8;0;2;C.A. 31921;26,25;S
239;0;2;Pengelly, Mr. Frederick William;Masculino;1;19;0;0;28665;10,50;S
240;0;2;Hunt, Mr. George Henry;Masculino;5;33;0;0;SCO/W 1585;12,28;S
241;0;3;Zabour, Miss. Thamine;Femenino;3;26;1;0;2665;14,45;C
242;1;3;"Murphy, Miss. Katherine ""Kate""";Femenino;5;21;1;0;367230;15,50;Q
243;0;2;Coleridge, Mr. Reginald Charles;Masculino;2;29;0;0;W./C. 14263;10,50;S
244;0;3;Maenpaa, Mr. Matti Alexanteri;Masculino;5;22;0;0;STON/O 2. 3101275;7,13;S
245;0;3;Attalah, Mr. Sleiman;Masculino;3;30;0;0;2694;7,23;C
246;0;1;Minahan, Dr. William Edward;Masculino;2;44;2;0;19928;90,00;Q
247;0;3;Lindahl, Miss. Agda Thorilda Viktoria;Femenino;2;25;0;0;347071;7,78;S
248;1;2;Hamalainen, Mrs. William (Anna);Femenino;5;24;0;2;250649;14,50;S
249;1;1;Beckwith, Mr. Richard Leonard;Masculino;5;37;1;1;11751;52,55;S
250;0;2;Carter, Rev. Ernest Courtenay;Masculino;4;54;1;0;244252;26,00;S
251;0;3;Reed, Mr. James George;Masculino;3;51;0;0;362316;7,25;S
252;0;3;Strom, Mrs. Wilhelm (Elna Matilda Persson);Femenino;4;29;1;1;347054;10,46;S
253;0;1;Stead, Mr. William Thomas;Masculino;2;62;0;0;113514;26,55;S
254;0;3;Lobb, Mr. William Arthur;Masculino;2;30;1;0;A/5. 3336;16,10;S
255;0;3;Rosblom, Mrs. Viktor (Helena Wilhelmina);Femenino;5;41;0;2;370129;20,21;S
256;1;3;Touma, Mrs. Darwis (Hanne Youssef Razi);Femenino;2;29;0;2;2650;15,25;C
257;1;1;Thorne, Mrs. Gertrude Maybelle;Femenino;5;27;0;0;PC 17585;79,20;C
258;1;1;Cherry, Miss. Gladys;Femenino;3;30;0;0;110152;86,50;S
259;1;1;Ward, Miss. Anna;Femenino;3;35;0;0;PC 17755;512,33;C
260;1;2;Parrish, Mrs. (Lutie Davis);Femenino;4;;0;1;230433;26,00;S
261;0;3;Smith, Mr. Thomas;Masculino;5;20;0;0;384461;7,75;Q
262;1;3;Asplund, Master. Edvin Rojj Felix;Masculino;1;3;4;2;347077;31,39;S
263;0;1;Taussig, Mr. Emil;Masculino;5;52;1;1;110413;79,65;S
264;0;1;Harrison, Mr. William;Masculino;4;40;0;0;112059;0,00;S
265;0;3;Henry, Miss. Delia;Femenino;3;41;0;0;382649;7,75;Q
266;0;2;Reeves, Mr. David;Masculino;5;36;0;0;C.A. 17248;10,50;S
267;0;3;Panula, Mr. Ernesti Arvid;Masculino;1;16;4;1;3101295;39,69;S
268;1;3;Persson, Mr. Ernst Ulrik;Masculino;1;25;1;0;347083;7,78;S
269;1;1;Graham, Mrs. William Thompson (Edith Junkins);Femenino;3;58;0;1;PC 17582;153,46;S
270;1;1;Bissette, Miss. Amelia;Femenino;3;35;0;0;PC 17760;135,63;S
271;0;1;Cairns, Mr. Alexander;Masculino;3;21;0;0;113798;31,00;S
272;1;3;Tornquist, Mr. William Henry;Masculino;5;25;0;0;LINE;0,00;S
273;1;2;Mellinger, Mrs. (Elizabeth Anne Maidment);Femenino;3;41;0;1;250644;19,50;S
274;0;1;Natsch, Mr. Charles H;Masculino;4;37;0;1;PC 17596;29,70;C
275;1;3;"Healy, Miss. Hanora ""Nora""";Femenino;4;25;0;0;370375;7,75;Q
276;1;1;Andrews, Miss. Kornelia Theodosia;Femenino;5;63;1;0;13502;77,96;S
277;0;3;Lindblom, Miss. Augusta Charlotta;Femenino;5;45;0;0;347073;7,75;S
278;0;2;"Parkes, Mr. Francis ""Frank""";Masculino;1;41;0;0;239853;0,00;S
279;0;3;Rice, Master. Eric;Masculino;1;7;4;1;382652;29,13;Q
280;1;3;Abbott, Mrs. Stanton (Rosa Hunt);Femenino;5;35;1;1;C.A. 2673;20,25;S
281;0;3;Duane, Mr. Frank;Masculino;5;65;0;0;336439;7,75;Q
282;0;3;Olsson, Mr. Nils Johan Goransson;;3;28;0;0;347464;7,85;S
283;0;3;de Pelsmaeker, Mr. Alfons;Masculino;1;16;0;0;345778;9,50;S
284;1;3;Dorking, Mr. Edward Arthur;Masculino;5;19;0;0;A/5. 10482;8,05;S
285;0;1;Smith, Mr. Richard William;Masculino;1;35;0;0;113056;26,00;S
286;0;3;Stankovic, Mr. Ivan;Masculino;2;33;0;0;349239;8,66;C
287;1;3;de Mulder, Mr. Theodore;Masculino;3;30;0;0;345774;9,50;S
288;0;3;Naidenoff, Mr. Penko;Masculino;5;22;0;0;349206;7,90;S
289;1;2;Hosono, Mr. Masabumi;Masculino;2;42;0;0;237798;13,00;S
290;1;3;Connolly, Miss. Kate;Femenino;2;22;0;0;370373;7,75;Q
291;1;1;"Barber, Miss. Ellen ""Nellie""";Femenino;5;26;0;0;19877;78,85;S
292;1;1;Bishop, Mrs. Dickinson H (Helen Walton);Femenino;4;19;1;0;11967;91,08;C
